Competency	Level1	Level2	ValidationMethod	KnowledgeSource	PolicySource	UpdateNote
Peripheral IV Maintenance	IV Therapy	Peripheral Line Management	Validation By Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Peripheral%20IV%20Therapy%20-%20Maintenance%204-2017.pdf	DUHS Policy#3454  DUHS IV Therapy - Adult https://dukeuniversity.policytech.com/dotNet/documents/?docid=3560	Peripheral IV Maintenance Word Document Updated 4/2017
Peripheral IV Maintenance - Clinic	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior			
Peripheral IV Maintenance - PACU	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior			
Peripheral Vein Identification Using Ultrasound Device	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior	: https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Peripheral%20IV%20Therapy%20-%20Ultrasound%20Guided%20Insertion%203-2017.pdf		Peripheral Vein Identification Using Ultrasound Device Word Document Updated 3-2017
PICC Insertion - PICC/Midline	IV Therapy	Peripheral Line Management	Validated by Completion  of an Educational Activity and Observation of Behavior	: https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/IV%20Therapy%20-Insertion%20of%20PICC-Midline%20Catheter%20DUHS%20Advanced%20Skill%20Education%20Plan-%205-2017.pdf		PICC Insertion - PICC/Midline Word Document Updated 5-2017
PICC Maintenance	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/Peripheral%20IV%20Therapy%20-%20PICC%20Maintenance%204-2017.pdf	DUHS Policy#3454  DUHS IV Therapy - Adult https://dukeuniversity.policytech.com/dotNet/documents/?docid=3560	PICC Maintenance Word Document   Updated 4/2017
PICC Maintenance - ICN	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior			
PICC Tip Verification by Chest XRay Following Placement	IV Therapy	Peripheral Line Management	Validated by Completion  of an Educational Activity and Observation of Behavior	: https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/IV%20Therapy%20-%20PICC%20Tip%20Verification%20by%20CXR%20following%20Placement%20DUHS%20Advanced%20Skill%20Education%20Plan%20-%209-2017.pdf		PICC Tip Verification Word Document Updated 9-2017
Total Parenteral Nutrition	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior	https://intranet.dh.duke.edu/hospitals/duh/duhedcouncil/Competencies/IV%20Therapy%20-%20Total%20Parenteral%20Nutrition%204-2017.pdf		Total Parenteral Nutrition Word Document    Updated 4/2017
Total Parenteral Nutrition - ICN	IV Therapy	Peripheral Line Management	Validated by Observation of Behavior			
